Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-08-27,Soon You’ll Get Better (feat. The Chicks),Taylor Swift,1,1,1
2021-08-27,London Boy,Taylor Swift,1,1,1
2021-08-27,Death by a Thousand Cuts,Taylor Swift,2,1,2
2021-08-27,Cornelia Street,Taylor Swift,1,1,1
2021-08-27,Paper Rings,Taylor Swift,1,1,1
2021-08-27,Miss Americana & the Heartbreak Prince,Taylor Swift,1,1,1
2021-08-27,I Think He Knows,Taylor Swift,1,1,1
2021-08-27,The Archer,Taylor Swift,1,1,1
2021-08-27,The Man,Taylor Swift,1,1,1
2021-08-27,Lover,Taylor Swift,1,1,1
2021-08-27,Cruel Summer,Taylor Swift,1,1,1
2021-08-27,Scream,Dreamcatcher,1,1,1
2021-08-27,PIRI,Dreamcatcher,1,1,1
2021-08-27,Over the Sky,Dreamcatcher,1,1,1
2021-08-27,What,Dreamcatcher,1,1,1
2021-08-27,YOU AND I,Dreamcatcher,1,1,1
2021-08-27,Full Moon,Dreamcatcher,1,1,1
2021-08-27,Fly high,Dreamcatcher,1,1,1
2021-08-27,GOOD NIGHT,Dreamcatcher,1,1,1
2021-08-27,Chase Me,Dreamcatcher,1,1,1
2021-08-27,MAGO,GFRIEND,1,1,1
2021-08-27,Apple,GFRIEND,1,1,1
2021-08-27,Crossroads,GFRIEND,1,1,1
2021-08-27,Labyrinth,GFRIEND,1,1,1
2021-08-27,Fever,GFRIEND,1,1,1
2021-08-27,Sunrise,GFRIEND,1,1,1
2021-08-27,Sunny Summer,GFRIEND,1,1,1
2021-08-27,Time for the moon night,GFRIEND,1,1,1
2021-08-27,SUMMER RAIN,GFRIEND,1,1,1
2021-08-27,LOVE WHISPER,GFRIEND,1,1,1
2021-08-27,FINGERTIP,GFRIEND,1,1,1
2021-08-27,NAVILLERA,GFRIEND,1,1,1
2021-08-27,Rough,GFRIEND,1,1,1
2021-08-27,Me Gustas Tu,GFRIEND,1,1,1
2021-08-27,Glass Bead,GFRIEND,1,1,1
2021-08-27,Snapping,CHUNG HA,1,1,1
2021-08-27,Gotta Go,CHUNG HA,1,1,1
2021-08-27,Roller Coaster,CHUNG HA,1,1,1
2021-08-27,When We Disco (duet With Sunmi),J.Y. Park,1,1,1
2021-08-27,pporappippam 보라빛 밤,SUNMI,1,1,1
2021-08-27,LALALAY 날라리,SUNMI,1,1,1
2021-08-27,Noir 누아르,SUNMI,1,1,1
2021-08-27,Siren,SUNMI,1,1,1
2021-08-27,Heroine,SUNMI,1,1,1
2021-08-27,Gashina,SUNMI,1,1,1
2021-08-27,24시간이 모자라,SUNMI,1,1,1
2021-08-27,보름달,SUNMI,1,1,1
2021-08-27,Butterfly,WJSN,1,1,1
2021-08-27,As you Wish,WJSN,1,1,1
2021-08-27,Boogie Up,WJSN,1,1,1
2021-08-27,La La Love,WJSN,1,1,1
2021-08-27,Save Me Save You,WJSN,1,1,1
2021-08-27,Happy,WJSN,1,1,1
2021-08-27,I Wish,WJSN,1,1,1
2021-08-27,Secret,WJSN,1,1,1
2021-08-27,MoMoMo,WJSN,1,1,1
2021-08-27,Knock,Astro,1,1,1
2021-08-27,Blue Flame,Astro,1,1,1
2021-08-27,All Night,Astro,1,1,1
2021-08-27,Crazy Sexy Cool,Astro,1,1,1
2021-08-27,Baby,Astro,1,1,1
2021-08-27,INCEPTION,ATEEZ,1,1,1
2021-08-27,Answer,ATEEZ,1,1,1
2021-08-27,WONDERLAND,ATEEZ,1,1,1
2021-08-27,Illusion,ATEEZ,1,1,1
2021-08-27,Wave,ATEEZ,1,1,1
2021-08-27,HALA HALA (Hearts Awakened Live Alive),ATEEZ,1,1,1
2021-08-27,Pirate King,ATEEZ,1,1,1
2021-08-27,A Song Written Easily,ONEUS,1,1,1
2021-08-27,Twilight,ONEUS,1,1,1
2021-08-27,Valkyrie,ONEUS,1,1,1
2021-08-27,LIT,ONEUS,1,1,1
2021-08-27,Spring,MCND,1,1,1
2021-08-27,ICE AGE,MCND,1,1,1
2021-08-27,The Stealer,THE BOYZ,1,1,1
2021-08-27,REVEAL,THE BOYZ,1,1,1
2021-08-27,TATTOO,THE BOYZ,1,1,1
2021-08-27,D.D.D,THE BOYZ,1,1,1
2021-08-27,Bloom Bloom,THE BOYZ,1,1,1
2021-08-27,No Air,THE BOYZ,1,1,1
2021-09-03,Camouflage,Selena Gomez,1,1,1
2021-09-03,Good for You,Selena Gomez,1,1,1
2021-09-03,Sober,Selena Gomez,1,1,1
2021-09-03,Same Old Love,Selena Gomez,1,1,1
2021-09-03,Hands to Myself,Selena Gomez,2,2,1
2021-09-03,Kill Em with Kindness,Selena Gomez,1,1,1
2021-09-03,Revival,Selena Gomez,1,1,1
2021-09-03,Castle on the Hill,Ed Sheeran,1,1,1
2021-09-03,Fear,Seventeen,1,1,1
2021-09-03,D-D-DANCE,IZ*ONE,1,1,1
2021-09-03,TO BE OR NOT TO BE,ONEUS,1,1,1
2021-09-03,Last Dance,(G)I-DLE,1,1,1
2021-09-03,How You Like That,BLACKPINK,1,1,1
2021-09-03,Crazy Sexy Cool,Astro,1,1,1
2021-09-03,HANN (Alone),(G)I-DLE,1,1,1
2021-09-03,NU ABO,f(x),1,1,1
2021-09-03,The Carol 2.0 (Vivi Choerry Yves),Loona,1,1,1
2021-09-03,Look,GOT7,1,1,1
2021-09-03,Zombie,DAY6,1,1,1
2021-09-03,Heroine,SUNMI,1,1,1
2021-09-03,I CAN'T STOP ME,TWICE,2,2,1
2021-09-03,Adios,Everglow,1,1,1
2021-09-03,What,Dreamcatcher,1,1,1
2021-09-03,When This Rain Stops,Wendy,1,1,1
2021-09-03,Listen To My Word,OH MY GIRL,1,1,1
2021-09-03,Baby,Astro,1,1,1
2021-09-03,Senorita,(G)I-DLE,1,1,1
